filename,pool,file_path,linked_from_root,meet_name,date_raw,date_start,date_end,location,source,file_size_bytes,notes
92GldWst.htm,root,public/LiftTilYaDie/92GldWst.htm,False,1992 Golden West,"December 12, 1992",1992-12-12,1992-12-12,MWC Training Center,Jim Schmitz,14713,duplicate_exists_in_Results
92NorCal.htm,root,public/LiftTilYaDie/92NorCal.htm,False,1992 Northern California Open,"June 14, 1992",1992-06-14,1992-06-14,Marin Training Center,Jim Schmitz,10901,duplicate_exists_in_Results
93BerMug.htm,root,public/LiftTilYaDie/93BerMug.htm,False,1993 Northern California/Beer Mug Open,"June 5, 1993",1993-06-05,1993-06-05,Marin Training Center,,6711,duplicate_exists_in_Results
93BltBkl.htm,root,public/LiftTilYaDie/93BltBkl.htm,False,1993 Belt Buckle Open,"August 8, 1993",1993-08-08,1993-08-08,The Sports Palace,Jim Schmitz,5663,duplicate_exists_in_Results
93CalSt.htm,root,public/LiftTilYaDie/93CalSt.htm,False,1993 California State Championships,"March 13, 1993",1993-03-13,1993-03-13,MWC Training Center,Jim Schmitz,15926,duplicate_exists_in_Results
94AmOpen.htm,root,public/LiftTilYaDie/94AmOpen.htm,False,1994 AMERICAN OPEN,"December 12-14, 1994",1994-12-12,1994-12-14,Northern Arizona University,,56696,duplicate_exists_in_Results
94GldWst.htm,root,public/LiftTilYaDie/94GldWst.htm,False,1994 Golden West Open,December 1994,1994-12,,Marin Training Center,Jim Schmitz,10246,duplicate_exists_in_Results
94Marin.htm,root,public/LiftTilYaDie/94Marin.htm,False,1994 Marin Open,"March 16, 1994",1994-03-16,1994-03-16,Marin Training Center,,11286,duplicate_exists_in_Results
94NorCal.htm,root,public/LiftTilYaDie/94NorCal.htm,False,1994 Northern California Open,1994,1994,,Marin Training Center,,12619,duplicate_exists_in_Results
95GldWst.htm,root,public/LiftTilYaDie/95GldWst.htm,False,1995 Golden West,"March 25, 1995",1995-03-25,1995-03-25,Marin Training Center,,13210,duplicate_exists_in_Results
95Marin.htm,root,public/LiftTilYaDie/95Marin.htm,False,1995 MARIN OPEN,"November 11, 1995",1995-11-11,1995-11-11,Marin Training Center,,14857,duplicate_exists_in_Results
95NorCal.htm,root,public/LiftTilYaDie/95NorCal.htm,False,1995 Northern California Open,"June 3, 1995",1995-06-03,1995-06-03,Marin Training Center,Jim Schmitz,11539,duplicate_exists_in_Results
95SrNats.htm,root,public/LiftTilYaDie/95SrNats.htm,False,1995 Senior Nationals,"April 28-30, 1995",1995-04-28,1995-04-30,William Saroyan Theater,,46547,duplicate_exists_in_Results
96CalSt.htm,root,public/LiftTilYaDie/96CalSt.htm,False,1996 California State Championships,"January 27, 1996",1996-01-27,1996-01-27,Marin Training Center,Jim Schmitz,14290,duplicate_exists_in_Results
96Marin.htm,root,public/LiftTilYaDie/96Marin.htm,False,1996 MARIN Open Weightlifting Championships,"March 16, 1996",1996-03-16,1996-03-16,Marin Training Center,,12920,duplicate_exists_in_Results
96WestHS.htm,root,public/LiftTilYaDie/96WestHS.htm,False,1996 Sacramento State University High School Weightlifting Championships,1996,1996,,High School Weightlifting Championships,,10340,duplicate_exists_in_Results
97AmOpen.htm,root,public/LiftTilYaDie/97AmOpen.htm,False,1997 USAW American Open,"November 7-9, 1997",1997-11-07,1997-11-09,"Joseph, MO",,92946,duplicate_exists_in_Results
97BltBkl.htm,root,public/LiftTilYaDie/97BltBkl.htm,False,1997 Belt Buckle Open,"August 10, 1997",1997-08-10,1997-08-10,The Sports Palace,Jim Schmitz,13321,duplicate_exists_in_Results
97GldWst.htm,root,public/LiftTilYaDie/97GldWst.htm,False,1997 Golden West Open Championships,"October 4, 1997",1997-10-04,1997-10-04,Sacramento State University,Jim Schmitz,13935,duplicate_exists_in_Results
97SacOpn.htm,root,public/LiftTilYaDie/97SacOpn.htm,False,1997 Sacramento Open,"December 13, 1997",1997-12-13,1997-12-13,Sacramento State University,,7868,duplicate_exists_in_Results
97TryOut.htm,root,public/LiftTilYaDie/97TryOut.htm,False,1997 USAW World Team Tryouts,"August 23, 1997",1997-08-23,1997-08-23,"World Team Tryouts Boise, ID",,16562,duplicate_exists_in_Results
97WestHS.htm,root,public/LiftTilYaDie/97WestHS.htm,False,1997 Western States High School Weightlifting Championships,1997,1997,,Weightlifting Championships,,19550,duplicate_exists_in_Results
98BltBkl.htm,root,public/LiftTilYaDie/98BltBkl.htm,False,1998 Belt Buckle Open,"August 23, 1998",1998-08-23,1998-08-23,Sacramento State University,,13554,duplicate_exists_in_Results
98CALSt.htm,root,public/LiftTilYaDie/98CALSt.htm,False,1998 California State Weightlifting Championships,"March 29, 1998",1998-03-29,1998-03-29,"The Sports Palace, San Francisco, CA",,19504,duplicate_exists_in_Results
98GldWst.htm,root,public/LiftTilYaDie/98GldWst.htm,False,1998 Golden West Open,"November 1, 1998",1998-11-01,1998-11-01,"Flexit Gym, Mountain View, CA",,9149,duplicate_exists_in_Results
98NorCal.htm,root,public/LiftTilYaDie/98NorCal.htm,False,1998 Northern California/Sacramento Open,"May 23, 1998",1998-17-23,1998-17-23,Sacramento Open,,31994,duplicate_exists_in_Results
98SrNats.htm,root,public/LiftTilYaDie/98SrNats.htm,False,1998 USAW SENIOR NATIONALS,"April 24 - 26, 1998",1998-04-24,1998-04-26,"Flagstaff, AZ",,74372,duplicate_exists_in_Results
98TryOut.htm,root,public/LiftTilYaDie/98TryOut.htm,False,1998 USA Weightlifting World Team Tryouts,"August 29, 1998",1998-08-29,1998-08-29,"World Team Tryouts Houston, TX",,17322,duplicate_exists_in_Results
98WestHS.htm,root,public/LiftTilYaDie/98WestHS.htm,False,1998 Western States High School Weightlifting Championships,1998,1998,,Weightlifting,,19809,duplicate_exists_in_Results
99AmOpen.htm,root,public/LiftTilYaDie/99AmOpen.htm,False,1999 American Open - Men,"DECEMBER 17-19, 1999",1999-12-17,1999-12-19,"TACOMA, WA",,112578,duplicate_exists_in_Results
99BltBkl.htm,root,public/LiftTilYaDie/99BltBkl.htm,False,1999 Belt Buckle Open,"August 22, 1999",1999-08-22,1999-08-22,Sacramento State University,Jim Schmitz,28621,
99GldWst.htm,root,public/LiftTilYaDie/99GldWst.htm,False,1999 Golden West Open,"October 10, 1999",1999-10-10,1999-10-10,"Flexit Gym, Mountain View, CA",Jim Schmitz,30631,duplicate_exists_in_Results
99LstChn.htm,root,public/LiftTilYaDie/99LstChn.htm,False,1999 Sacramento Last Chance,"March 27, 1999",1999-03-27,1999-03-27,Sacramento State University,,8743,duplicate_exists_in_Results
99NCalHS.htm,root,public/LiftTilYaDie/99NCalHS.htm,False,1999 NorCal High School Championships,"May 30, 1999",1999-17-30,1999-17-30,"Sacramento State University - Sacramento, CA",,14493,duplicate_exists_in_Results
99NorCal.htm,root,public/LiftTilYaDie/99NorCal.htm,False,1999 Northern California/Sacramento Open,"May 29, 1999",1999-17-29,1999-17-29,Sacramento Open,Jim Schmitz,19169,duplicate_exists_in_Results
99SrNats.htm,root,public/LiftTilYaDie/99SrNats.htm,False,1999 USAW SENIOR NATIONALS,"April 23 - 25, 1999",1999-04-23,1999-04-25,"USA WEIGHTLIFTING SENIOR NATIONALS Saint Joseph, MO",,91264,duplicate_exists_in_Results
PanAmMen.htm,root,public/LiftTilYaDie/PanAmMen.htm,False,1999 PAN AM GAMES - MEN,,,,,,31477,duplicate_exists_in_Results
PanAmWmn.htm,root,public/LiftTilYaDie/PanAmWmn.htm,False,1999 PAN AM GAMES - WOMEN,,,,,,25181,duplicate_exists_in_Results
00AmOpen.htm,Results,public/LiftTilYaDie/Results/00AmOpen.htm,True,2000 AMERICAN OPEN,"DECEMBER 1-3, 2000",2000-12-01,2000-12-03,"BUFFALO, NY",,158214,duplicate_exists_in_root; has_record_notations; large_file_possibly_multi_meet
00CalStates.htm,Results,public/LiftTilYaDie/Results/00CalStates.htm,False,2000 CALIFORNIA STATE CHAMPIONSHIPS,2000,2000,,,,18370,duplicate_exists_in_root
00GldWst.htm,Results,public/LiftTilYaDie/Results/00GldWst.htm,False,2000 Golden West Open,"November 5, 2000",2000-11-05,2000-11-05,"Cal State Sacramento, Sacramento, CA",,28575,duplicate_exists_in_root
00HighDesert.htm,Results,public/LiftTilYaDie/Results/00HighDesert.htm,False,2000 HIGH DESERT OPEN,2000,2000,,"HIGH DESERT OPEN RENO, NV",,7048,
00JrNats.htm,Results,public/LiftTilYaDie/Results/00JrNats.htm,False,2000 USAW JUNIOR NATIONALS,"February 11 - 13, 2000",2000-02-11,2000-02-13,"USA WEIGHTLIFTING JUNIOR NATIONALS Shreveport, LA",,118911,duplicate_exists_in_root; has_record_notations
00NatJrs.htm,Results,public/LiftTilYaDie/Results/00NatJrs.htm,True,2000 USAW NATIONAL JUNIORS,"February 11 - 13, 2000",2000-02-11,2000-02-13,"USA WEIGHTLIFTING NATIONAL JUNIORS Shreveport, LA",,133328,has_record_notations
00NoGuts.htm,Results,public/LiftTilYaDie/Results/00NoGuts.htm,False,2000 NO GUTS ~ NO GLORY OPEN,2000,2000,,,Jim Schmitz,33859,duplicate_exists_in_root
00NSA.htm,Results,public/LiftTilYaDie/Results/00NSA.htm,True,2000 NATIONAL SCHOOLAGE CHAMPIONSHIPS,DEC 1988,1988-12,,"NATIONAL SCHOOLAGE CHAMPIONSHIPS CHARLESTON, IL",Denis Reno's Newsletter,65014,
00OlyTry.htm,Results,public/LiftTilYaDie/Results/00OlyTry.htm,True,2000 USAW OLYMPIC TRYOUTS,"July 22, 2000",2000-07-22,2000-07-22,"USA WEIGHTLIFTING OLYMPIC TRYOUTS New Orleans, LA",,31289,duplicate_exists_in_root; has_record_notations
00PWAChp.htm,Results,public/LiftTilYaDie/Results/00PWAChp.htm,False,2000 PWA Championships,2000,2000,,,Jim Schmitz,29876,
00SacLastChanceI.htm,Results,public/LiftTilYaDie/Results/00SacLastChanceI.htm,False,2000 SACRAMENTO LAST CHANCE I,"Nov 9, 2020",2020-11-09,2020-11-09,,,2996,
00SacLastChanceII.htm,Results,public/LiftTilYaDie/Results/00SacLastChanceII.htm,False,2000 SACRAMENTO LAST CHANCE II,"Nov 9, 2020",2020-11-09,2020-11-09,,,3268,
